Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Sound Quality Importance,Avg. Battery Life Importance,,,,,,,,,
,1,2.86,,Choice,Label,Count,Percent,,,,
,2,3,,1,1 = Strongly Disagree,559,34.96,,,,Executive Summary
,3,3.32,,2,2 = Disagree,381,23.83,,,,Core Drivers
,4,3.89,,3,3 = Neutral,329,20.58,,,,"Sound quality, battery life, and price are the 3 top features that were identified across all the respondents for wireless speaker choice."
,5,4.01,,4,4 = Agree,179,11.19,,,,Trade-offs
,6,4.26,,5,5 = Strongly Agree,151,9.44,,,,"For our performance-driven buyers they show a clear preference for sound & battery, while consumers with a tighter budget sacrifice features for price. Design and durability show polarized results depending on the segment."
,Grand Total,3.54,,,,,,,,,Segments
,,,,,,,,,,,"Younger, lower-income consumers skew towards affordability and portability, while professionals lean toward more durability and premium features."
,,,,,,,,,,,Implication
,,,,,,,,,,,The market is divided into two identified groups: budget-conscious students and performance-driven professionals. Using product tiers and group specific messaging leads to growth opportunities.
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Visualization References (see Visualizations tab),,,,,,,,,,
,Pie Chart,Ownership distribution – majority own speakers,,,,,,,,,
,Bar Chart,Sound quality ratings – most Excellent/Good,,,,,,,,,
,Histogram,Likelihood to purchase – clustered at 2-3,,,,,,,,,
,Bar Chart,"Average importance ratings – sound/connectivity prioritized, design lowest",,,,,,,,,
,Scatter Plot,Correlation between Sound and Battery Life importance,,,,,,,,,
