bin,bin_label,predicted,actual,calibration_gap,n
0.0,0%,0.0427971393410151,0.0240963855421687,-0.0187007537988464,83
0.1,10%,0.108775685976859,0.104673807205453,-0.00410187877140639,2054
0.2,20%,0.20410000749168,0.203271028037383,-0.000828979454296469,3852
0.3,30%,0.302307257660595,0.306676725763863,0.00436946810326816,5302
0.4,40%,0.400000498113382,0.407370184254606,0.00736968614122463,5970
0.5,50%,0.5,0.5,0.0,5118
0.6,60%,0.599999501886618,0.592629815745394,-0.00736968614122457,5970
0.7,70%,0.697692742339405,0.693323274236137,-0.00436946810326821,5302
0.8,80%,0.79589999250832,0.796728971962617,0.000828979454296497,3852
0.9,90%,0.891224314023141,0.895326192794547,0.00410187877140633,2054
1.0,100%,0.957202860658985,0.975903614457831,0.0187007537988465,83
